"order_id","Revenue","Discount_type"
1,"760.43","Discounted"
2,"2235.08","Discounted"
3,"1821.60","Discounted"
4,"437.95","Discounted"
5,"994.49","Discounted"
6,"1065.92","Discounted"
7,"1295.63","Discounted"
8,"1066.53","Discounted"
9,"1725.38","Discounted"
10,"215.11","Discounted"
11,"704.93","Discounted"
12,"616.06","Discounted"
13,"943.36","Discounted"
14,"1248.43","Discounted"
15,"1156.56","Discounted"
16,"759.92","Discounted"
17,"43.75","Discounted"
18,"1844.92","Discounted"
19,"559.05","Discounted"
20,"1182.00","Discounted"
21,"1570.07","Discounted"
22,"398.78","Discounted"
23,"146.64","Discounted"
24,"596.13","Discounted"
25,"1221.74","Discounted"
26,"753.77","Discounted"
27,"998.75","Discounted"
28,"149.03","Discounted"
29,"1370.09","Discounted"
30,"432.10","Discounted"
31,"2096.25","Discounted"
32,"447.60","Discounted"
33,"982.20","Discounted"
34,"2327.59","Discounted"
35,"872.21","Discounted"
36,"1651.89","Discounted"
37,"1641.65","Discounted"
38,"436.58","Discounted"
39,"428.31","Discounted"
40,"269.47","Discounted"
41,"1650.11","Discounted"
42,"42.66","Discounted"
43,"629.72","Discounted"
44,"1436.87","Discounted"
45,"1159.68","Discounted"
46,"545.82","Discounted"
47,"1888.24","Discounted"
48,"1761.09","Discounted"
49,"1522.26","Discounted"
50,"2262.83","Discounted"
51,"2156.14","Discounted"
52,"1877.07","Discounted"
53,"693.78","Discounted"
54,"1302.44","Discounted"
55,"-26.55","Discounted"
56,"1916.54","Discounted"
57,"569.13","Discounted"
58,"1924.08","Discounted"
59,"-41.38","Discounted"
60,"458.75","Discounted"
61,"1630.43","Discounted"
62,"692.84","Discounted"
63,"59.46","Discounted"
64,"12.68","Discounted"
65,"247.99","Discounted"
66,"283.36","Discounted"
67,"24.48","Discounted"
68,"2130.94","Discounted"
69,"1753.75","Discounted"
70,"576.52","Discounted"
71,"572.94","Discounted"
72,"1147.55","Discounted"
73,"309.44","Discounted"
74,"245.32","Discounted"
75,"1667.93","Discounted"
76,"791.08","Discounted"
77,"1608.92","Discounted"
78,"1390.81","Discounted"
79,"2394.31","Discounted"
80,"782.14","Discounted"
81,"283.08","Discounted"
82,"262.35","Discounted"
83,"1142.86","Discounted"
84,"1850.33","Discounted"
85,"133.21","Discounted"
86,"878.40","Discounted"
87,"1710.38","Discounted"
88,"2171.29","Discounted"
89,"323.51","Discounted"
90,"641.91","Discounted"
91,"272.62","Discounted"
92,"2373.70","Discounted"
93,"1469.72","Discounted"
94,"647.46","Discounted"
95,"91.66","Discounted"
96,"2386.84","Discounted"
97,"2335.23","Discounted"
98,"231.53","Discounted"
99,"2416.01","Discounted"
